Linux 4.10.0-28-generic (huieric-Lenovo-G40-45) 	2018年03月04日 	_i686_	(4 CPU)

18时12分57秒   UID       PID    %usr %system  %guest    %CPU   CPU  Command
18时12分57秒  1000      2346    1.62    0.08    0.00    1.70     3  chromium-browse
18时12分57秒  1000      2418    1.37    0.07    0.00    1.44     0  chromium-browse
18时12分57秒  1000      2525    0.04    0.01    0.00    0.05     3  chromium-browse
18时12分57秒  1000      2543    0.00    0.00    0.00    0.00     3  update-notifier
18时12分57秒  1000      2583    0.00    0.00    0.00    0.00     3  deja-dup-monito
18时12分57秒  1000      3453    0.00    0.00    0.00    0.00     2  gvfsd-network
18时12分57秒  1000      3463    0.00    0.00    0.00    0.00     2  gvfsd-smb-brows
18时12分57秒  1000      3476    0.00    0.00    0.00    0.00     2  gvfsd-dnssd
18时12分57秒  1000      3489    0.00    0.00    0.00    0.00     2  oosplash
18时12分57秒  1000      3507    0.53    0.03    0.00    0.56     0  soffice.bin
18时12分57秒  1000      7601    0.00    0.00    0.00    0.00     3  unity-scope-hom
18时12分57秒  1000      7614    0.00    0.00    0.00    0.00     2  unity-scope-loa
18时12分57秒  1000      7616    0.00    0.00    0.00    0.00     3  unity-files-dae
18时12分57秒  1000      7661    0.01    0.01    0.00    0.02     1  ss-qt5
18时12分57秒  1000     10790    0.00    0.00    0.00    0.00     1  chromium-browse
18时12分57秒  1000     12368    0.00    0.00    0.00    0.00     2  chromium-browse
18时12分57秒     0     13054    0.00    0.00    0.00    0.00     2  cupsd
18时12分57秒     0     13055    0.00    0.00    0.00    0.00     0  cups-browsed
18时12分57秒  1000     19871    0.00    0.00    0.00    0.00     2  ssh-agent
18时12分57秒     0     20219    0.00    0.00    0.00    0.00     0  kworker/0:1H
18时12分57秒  1000     20896    0.06    0.02    0.00    0.09     3  chromium-browse
18时12分57秒     0     21099    0.00    0.01    0.00    0.01     3  kworker/3:0
18时12分57秒     0     23085    0.00    0.00    0.00    0.00     2  kworker/2:0H
18时12分57秒     0     23787    0.00    0.00    0.00    0.00     0  kworker/0:2
18时12分57秒     0     23829    0.00    0.00    0.00    0.00     0  kworker/u8:1
18时12分57秒     0     24046    0.00    0.00    0.00    0.00     2  kworker/u8:0
18时12分57秒     0     24250    0.00    0.00    0.00    0.00     2  kworker/2:1
18时12分57秒     0     24411    0.00    0.00    0.00    0.00     0  kworker/u8:3
18时12分57秒     0     24508    0.00    0.00    0.00    0.00     1  kworker/1:2
18时12分57秒  1000     24561    0.30    0.01    0.00    0.32     3  chromium-browse
18时12分57秒     0     24580    0.00    0.00    0.00    0.00     3  kworker/3:1H
18时12分57秒     0     24853    0.00    0.00    0.00    0.00     1  kworker/1:2H
18时12分57秒     0     25076    0.00    0.00    0.00    0.00     2  kworker/2:0
18时12分57秒     0     25097    0.00    0.00    0.00    0.00     0  kworker/0:0
18时12分57秒     0     25402    0.00    0.00    0.00    0.00     1  kworker/1:1
18时12分57秒     0     25632    0.00    0.00    0.00    0.00     3  kworker/3:2
18时12分57秒     0     25818    0.00    0.00    0.00    0.00     0  sudo
18时12分57秒     0     25828    0.00    0.00    0.00    0.00     2  rjsupplicant
18时12分57秒  1000     26019    0.00    0.00    0.00    0.00     0  chromium-browse
18时12分57秒     0     26624    0.00    0.00    0.00    0.00     2  kworker/2:2H
18时12分57秒  1000     26806    0.00    0.00    0.00    0.00     0  OS-design
18时12分57秒     0     27022    0.00    0.00    0.00    0.00     1  kworker/1:0H
18时12分57秒     0     27150    0.00    0.00    0.00    0.00     1  kworker/1:0
18时12分57秒  1000     27196    0.00    0.00    0.00    0.00     1  pidstat
